,eval,Model,Date,Time,Video@1,Video@MeanTop1,Video@5,Video@MeanTop5
0,direct,rspnet,02-09..,22-39-24.out,0.76,0.51,3.97,2.98
1,direct,selavi,02-09..,23-29-51.out,0.44,0.54,2.85,3.1
2,direct,gdt,02-09..,21-21-50.out,0.65,0.53,2.72,2.4
3,direct,video,02-11..,01-37-59.out,0.45,0.62,2.64,3.14
4,direct,rspnet,02-11..,16-24-40.out,0.45,0.48,2.37,2.92
5,direct,tclr,02-10..,18-16-36.out,0.29,0.57,2.2,2.79
6,direct,selavi,02-11..,02-01-59.out,0.44,0.53,2.83,2.77
7,direct,selavi,02-11..,17-08-52.out,0.61,0.5,2.97,2.94
8,direct,gdt,02-11..,19-45-36.out,0.81,0.78,2.94,2.92
9,direct,ctp,02-10..,17-49-00.out,0.93,0.6,3.08,2.64
10,direct,gdt,02-10..,17-20-21.out,0.8,0.56,3.98,2.93
11,direct,avid,02-11..,17-31-03.out,0.8,0.57,3.66,2.86
12,direct,avid,02-09..,23-56-26.out,0.66,0.56,2.79,2.65
13,direct,video,02-10..,19-13-11.out,0.26,0.38,1.76,2.61
14,direct,tclr,02-11..,20-31-13.out,0.21,0.64,2.28,3.01
15,direct,avid,02-11..,22-01-51.out,0.96,0.63,3.59,3.02
16,direct,video,02-11..,16-46-46.out,0.52,0.67,2.55,3.07
17,direct,avid,02-10..,20-09-10.out,0.53,0.61,2.69,2.76
18,direct,rspnet,02-11..,01-13-51.out,0.63,0.66,2.79,3.12
19,direct,tclr,02-11..,16-01-55.out,0.5,0.58,1.87,2.73
20,direct,video,02-11..,21-16-57.out,0.73,0.56,3.62,2.79
21,direct,selavi,02-11..,21-39-25.out,0.71,0.54,3.64,2.78
22,direct,selavi,02-10..,19-41-17.out,0.42,0.65,1.9,2.79
23,direct,rspnet,02-11..,20-54-21.out,0.75,0.53,2.9,2.81
24,direct,ctp,02-09..,21-48-14.out,0.25,0.57,2.3,2.72
25,direct,avid,02-11..,02-25-41.out,0.96,0.73,3.46,3.02
26,direct,tclr,02-09..,22-13-46.out,0.25,0.63,1.88,3.14
27,direct,tclr,02-11..,00-49-48.out,0.19,0.57,2.24,3.3
28,direct,gdt,02-11..,15-14-48.out,0.65,0.62,2.76,2.71
29,direct,ctp,02-11..,20-08-50.out,0.07,0.53,1.84,2.87
30,direct,rspnet,02-10..,18-44-55.out,0.69,0.53,3.29,2.74
31,direct,video,02-09..,23-04-44.out,0.7,0.59,3.29,2.76
32,direct,ctp,02-11..,15-39-25.out,0.41,0.56,2.55,2.72
33,direct,gdt,02-11..,00-00-36.out,0.54,0.52,2.43,2.63
34,direct,ctp,02-11..,00-25-55.out,0.95,0.57,4.67,3.01
35,linear,tclr,02-12..,20-29-18.out,0.44,0.48,2.41,2.96
36,linear,tclr,02-14..,13-35-00.out,0.28,0.55,2.68,3.03
37,linear,selavi,02-14..,14-56-58.out,0.73,0.63,3.48,3.03
38,linear,avid,02-12..,21-56-01.out,0.55,0.57,3.32,3.01
39,linear,selavi,02-13..,23-42-03.out,0.32,0.49,2.22,2.94
40,linear,tclr,02-13..,19-09-46.out,0.15,0.57,1.89,3.17
41,linear,avid,02-14..,00-09-00.out,0.17,0.52,1.94,2.77
42,linear,ctp,02-12..,19-43-16.out,1.44,0.57,3.71,2.7
43,linear,avid,02-14..,18-56-05.out,0.36,0.54,2.35,2.75
44,linear,avid,02-14..,15-23-59.out,0.45,0.66,2.29,2.88
45,linear,gdt,02-14..,13-07-30.out,0.86,0.64,3.41,2.95
46,linear,rspnet,02-14..,14-02-02.out,0.47,0.62,2.57,3.06
47,linear,video,02-14..,18-00-08.out,1.14,0.65,4.0,3.04
48,linear,video,02-13..,20-04-57.out,0.38,0.44,2.96,2.75
49,linear,rspnet,02-12..,20-50-46.out,0.49,0.62,2.78,3.29
50,linear,selavi,02-13..,20-32-10.out,0.36,0.44,2.09,2.52
51,linear,tclr,02-14..,17-03-56.out,0.54,0.65,3.64,2.96
52,linear,rspnet,02-14..,17-32-19.out,0.42,0.52,2.49,2.76
53,linear,gdt,02-13..,21-56-52.out,0.82,0.73,3.33,3.05
54,linear,avid,02-13..,20-59-22.out,0.52,0.6,3.0,2.73
55,linear,video,02-13..,23-14-28.out,0.72,0.59,3.25,2.97
56,linear,rspnet,02-13..,19-37-35.out,0.61,0.6,2.72,2.61
57,linear,ctp,02-14..,12-38-58.out,0.29,0.41,1.73,2.67
58,linear,gdt,02-12..,20-07-48.out,0.58,0.52,3.06,2.97
59,linear,video,02-14..,14-29-37.out,0.37,0.64,2.44,3.19
60,linear,selavi,02-12..,21-34-02.out,0.36,0.58,2.31,2.82
61,linear,rspnet,02-13..,22-48-47.out,0.24,0.48,2.13,3.0
62,linear,ctp,02-13..,18-15-10.out,0.19,0.56,1.94,2.81
63,linear,video,02-12..,21-12-13.out,0.75,0.73,3.39,3.17
64,linear,tclr,02-13..,22-24-06.out,0.46,0.58,2.43,2.67
65,linear,selavi,02-14..,18-27-59.out,0.25,0.53,2.32,3.25
66,linear,gdt,02-13..,18-42-25.out,0.42,0.55,2.2,2.77
67,linear,ctp,02-13..,21-29-39.out,0.16,0.58,1.71,2.77
68,linear,ctp,02-14..,16-09-36.out,0.16,0.45,2.34,2.68
69,linear,gdt,02-14..,16-37-00.out,0.6,0.4,3.33,2.59
70,full_finetune,selavi,02-11..,05-01-02.out,0.46,0.59,2.76,2.82
71,full_finetune,rspnet,02-11..,04-32-07.out,0.41,0.7,1.92,2.78
72,full_finetune,ctp,02-11..,03-34-29.out,0.39,0.6,2.01,2.99
73,full_finetune,selavi,02-11..,16-18-17.out,0.61,0.56,3.76,2.82
74,full_finetune,avid,02-11..,16-47-36.out,0.9,0.6,3.96,2.87
75,full_finetune,rspnet,02-11..,19-46-26.out,1.18,0.6,3.37,2.8
76,full_finetune,video,02-11..,17-16-50.out,0.5,0.56,3.09,3.03
77,full_finetune,gdt,02-11..,18-16-54.out,0.41,0.69,2.3,2.96
78,full_finetune,selavi,02-11..,20-15-40.out,0.52,0.42,2.75,2.76
79,full_finetune,gdt,02-11..,14-19-02.out,0.67,0.6,2.47,2.68
80,full_finetune,avid,02-10..,19-45-16.out,0.62,0.52,3.04,2.77
81,full_finetune,video,02-11..,21-14-37.out,0.89,0.75,3.24,3.44
82,full_finetune,ctp,02-11..,14-50-05.out,0.25,0.44,2.86,2.94
83,full_finetune,video,02-10..,20-14-48.out,0.71,0.51,3.67,2.77
84,full_finetune,gdt,02-10..,17-09-16.out,0.57,0.6,2.99,2.99
85,full_finetune,gdt,02-11..,03-04-13.out,0.49,0.53,2.64,2.8
86,full_finetune,avid,02-11..,05-30-05.out,0.43,0.48,3.03,3.23
87,full_finetune,rspnet,02-11..,15-48-48.out,0.46,0.54,2.55,2.83
88,full_finetune,rspnet,02-10..,18-46-31.out,0.78,0.57,3.74,2.92
89,full_finetune,avid,02-11..,20-45-19.out,0.9,0.66,3.03,2.91
90,full_finetune,tclr,02-10..,18-15-02.out,0.82,0.57,3.74,2.99
91,full_finetune,rspnet,02-09..,22-53-06.out,0.64,0.54,2.57,2.31
92,full_finetune,selavi,02-09..,23-22-45.out,0.79,0.67,2.81,2.88
93,full_finetune,video,02-11..,05-59-11.out,0.62,0.64,3.03,3.04
94,full_finetune,tclr,02-11..,19-16-56.out,0.48,0.64,2.11,3.08
95,full_finetune,video,02-10..,00-23-09.out,0.88,0.82,4.13,3.67
96,full_finetune,gdt,02-09..,21-21-50.out,0.39,0.5,2.02,2.43
97,full_finetune,tclr,02-11..,15-19-39.out,0.85,0.57,3.45,2.65
98,full_finetune,tclr,02-09..,22-22-58.out,0.31,0.58,2.76,2.66
99,full_finetune,avid,02-09..,23-52-43.out,0.2,0.5,1.82,2.75
100,full_finetune,selavi,02-10..,19-16-03.out,0.51,0.54,2.62,2.76
101,full_finetune,ctp,02-10..,17-42-38.out,0.4,0.58,1.84,2.85
102,full_finetune,ctp,02-11..,18-47-35.out,0.73,0.57,3.14,2.94
103,full_finetune,ctp,02-09..,21-53-28.out,0.16,0.47,2.38,2.89
104,full_finetune,tclr,02-11..,04-03-25.out,0.91,0.58,3.7,2.77
